date,equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,horizon,market,date_cashflow,slice
2022-03-31,0.0,213477.8036,18787.445966941297,8642.225144792996,-5335.940679888,0.0,0.0,3306.2844649049957,5,"Baltimore,Maryland",2020-03-31,Class B
2023-03-31,0.0,195899.3468,19038.02343404302,8757.490779659789,-5335.940679888,0.0,0.0,3421.550099771789,5,"Baltimore,Maryland",2020-03-31,Class B
2024-03-31,0.0,183876.664,19064.752844634324,8769.786308531788,-5335.940679888,0.0,0.0,3433.8456286437877,5,"Baltimore,Maryland",2020-03-31,Class B
2025-03-31,0.0,185731.2676,19269.059929081504,8863.767567377492,-5335.940679888,-117016.24298,185731.2676,72242.85150748948,5,"Baltimore,Maryland",2020-03-31,Class B
2020-03-31,-35470.45248000001,118234.8416,0.0,0.0,0.0,0.0,0.0,-35470.45248000001,5,"Baltimore,Maryland",2020-03-31,Class C
2021-03-31,0.0,134401.5023,13825.268535468966,6359.623526315724,-3774.0561438719997,0.0,0.0,2585.5673824437245,5,"Baltimore,Maryland",2020-03-31,Class C
2022-03-31,0.0,151435.673,14987.672405579367,6894.329306566508,-3774.0561438719997,0.0,0.0,3120.2731626945088,5,"Baltimore,Maryland",2020-03-31,Class C
2023-03-31,0.0,139358.8556,14985.383481888326,6893.27640166863,-3774.0561438719997,0.0,0.0,3119.22025779663,5,"Baltimore,Maryland",2020-03-31,Class C
2024-03-31,0.0,130274.1048,15261.697983554273,7020.381072434965,-3774.0561438719997,0.0,0.0,3246.3249285629654,5,"Baltimore,Maryland",2020-03-31,Class C
2025-03-31,0.0,131721.1632,15547.155487710554,7151.691524346854,-3774.0561438719997,-82764.38911999999,131721.1632,52334.40946047487,5,"Baltimore,Maryland",2020-03-31,Class C
2020-03-31,-59816.327699999994,199387.759,0.0,0.0,0.0,0.0,0.0,-59816.327699999994,5,"Birmingham,Alabama",2020-03-31,Class A
2021-03-31,0.0,214907.1353,16714.899027698906,7688.853552741496,-6364.45726728,0.0,0.0,1324.3962854614956,5,"Birmingham,Alabama",2020-03-31,Class A
2022-03-31,0.0,236748.6575,17471.66638860715,8036.966538759289,-6364.45726728,0.0,0.0,1672.5092714792881,5,"Birmingham,Alabama",2020-03-31,Class A
2023-03-31,0.0,209832.2658,17765.776509461135,8172.257194352122,-6364.45726728,0.0,0.0,1807.7999270721211,5,"Birmingham,Alabama",2020-03-31,Class A
2024-03-31,0.0,189639.7379,16402.842667603767,7545.307627097733,-6364.45726728,0.0,0.0,1180.8503598177322,5,"Birmingham,Alabama",2020-03-31,Class A
2025-03-31,0.0,183407.2702,17268.676915078715,7943.591380936208,-6364.45726728,-139571.4313,183407.2702,45414.973013656214,5,"Birmingham,Alabama",2020-03-31,Class A
2020-03-31,-36855.99138000001,122853.3046,0.0,0.0,0.0,0.0,0.0,-36855.99138000001,5,"Birmingham,Alabama",2020-03-31,Class B
2021-03-31,0.0,134638.5769,12202.983117220308,5613.372233921342,-3921.477482832,0.0,0.0,1691.8947510893418,5,"Birmingham,Alabama",2020-03-31,Class B
2022-03-31,0.0,151845.0261,13713.438882054348,6308.181885745,-3921.477482832,0.0,0.0,2386.7044029129997,5,"Birmingham,Alabama",2020-03-31,Class B
2023-03-31,0.0,139201.5858,13594.806803701787,6253.611129702822,-3921.477482832,0.0,0.0,2332.133646870822,5,"Birmingham,Alabama",2020-03-31,Class B
2024-03-31,0.0,126861.8976,13584.328584769102,6248.791148993787,-3921.477482832,0.0,0.0,2327.313666161787,5,"Birmingham,Alabama",2020-03-31,Class B
2025-03-31,0.0,126996.6378,13561.634558261978,6238.351896800509,-3921.477482832,-85997.31322,126996.6378,43316.198993968515,5,"Birmingham,Alabama",2020-03-31,Class B
2020-03-31,-20449.687320000005,68165.6244,0.0,0.0,0.0,0.0,0.0,-20449.687320000005,5,"Birmingham,Alabama",2020-03-31,Class C
2021-03-31,0.0,76707.0357,9246.98568823398,4253.613416587631,-2175.846730848,0.0,0.0,2077.766685739631,5,"Birmingham,Alabama",2020-03-31,Class C
2022-03-31,0.0,89988.3147,10067.33573769306,4630.974439338807,-2175.846730848,0.0,0.0,2455.1277084908074,5,"Birmingham,Alabama",2020-03-31,Class C
2023-03-31,0.0,83835.3772,10308.371027667867,4741.850672727218,-2175.846730848,0.0,0.0,2566.003941879218,5,"Birmingham,Alabama",2020-03-31,Class C
2024-03-31,0.0,77193.5358,10332.10519959683,4752.768391814541,-2175.846730848,0.0,0.0,2576.9216609665414,5,"Birmingham,Alabama",2020-03-31,Class C
2025-03-31,0.0,78325.1863,10510.46324017454,4834.813090480288,-2175.846730848,-47715.937079999996,78325.1863,33268.21557963229,5,"Birmingham,Alabama",2020-03-31,Class C
2020-03-31,-170509.76058000006,568365.8686,0.0,0.0,0.0,0.0,0.0,-170509.76058000006,5,"Boston,Massachusetts",2020-03-31,Class A
2021-03-31,0.0,609383.6466,29881.28344407176,13745.390384273009,-18142.238525712,0.0,0.0,-4396.848141438992,5,"Boston,Massachusetts",2020-03-31,Class A
2022-03-31,0.0,693492.7882,36272.476238916985,16685.339069901813,-18142.238525712,0.0,0.0,-1456.8994558101876,5,"Boston,Massachusetts",2020-03-31,Class A
2023-03-31,0.0,630086.178,37175.73376532533,17100.83753204965,-18142.238525712,0.0,0.0,-1041.4009936623515,5,"Boston,Massachusetts",2020-03-31,Class A
2024-03-31,0.0,590653.5912,38155.16550058745,17551.376130270226,-18142.238525712,0.0,0.0,-590.8623954417744,5,"Boston,Massachusetts",2020-03-31,Class A
2025-03-31,0.0,603778.6125,38008.44302266651,17483.883790426597,-18142.238525712,-397856.10802,603778.6125,205264.14974471467,5,"Boston,Massachusetts",2020-03-31,Class A
2020-03-31,-122980.07787000004,409933.5929,0.0,0.0,0.0,0.0,0.0,-122980.07787000004,5,"Boston,Massachusetts",2020-03-31,Class B
2021-03-31,0.0,447098.1608,26308.134028895,12101.7416532917,-13085.080285367998,0.0,0.0,-983.3386320762984,5,"Boston,Massachusetts",2020-03-31,Class B
2022-03-31,0.0,513628.6396,30274.35058597171,13926.201269546986,-13085.080285367998,0.0,0.0,841.1209841789878,5,"Boston,Massachusetts",2020-03-31,Class B
2023-03-31,0.0,469976.3515,31093.151857554672,14302.849854475147,-13085.080285367998,0.0,0.0,1217.7695691071494,5,"Boston,Massachusetts",2020-03-31,Class B
2024-03-31,0.0,444256.0823,31634.293166429627,14551.774856557628,-13085.080285367998,0.0,0.0,1466.6945711896296,5,"Boston,Massachusetts",2020-03-31,Class B
2025-03-31,0.0,454602.7027,31881.898263222898,14665.673201082533,-13085.080285367998,-286953.51502999995,454602.7027,169229.78058571462,5,"Boston,Massachusetts",2020-03-31,Class B
2020-03-31,-85160.21091,283867.3697,0.0,0.0,0.0,0.0,0.0,-85160.21091,5,"Boston,Massachusetts",2020-03-31,Class C
2021-03-31,0.0,309800.5856,21945.889515026116,10095.109176912012,-9061.046440824,0.0,0.0,1034.0627360880117,5,"Boston,Massachusetts",2020-03-31,Class C
2022-03-31,0.0,360704.2593,23884.03607912747,10986.656596398634,-9061.046440824,0.0,0.0,1925.6101555746336,5,"Boston,Massachusetts",2020-03-31,Class C
2023-03-31,0.0,332617.2631,24953.537503580792,11478.627251647164,-9061.046440824,0.0,0.0,2417.580810823163,5,"Boston,Massachusetts",2020-03-31,Class C
2024-03-31,0.0,313478.0061,25693.26426030014,11818.901559738064,-9061.046440824,0.0,0.0,2757.8551189140635,5,"Boston,Massachusetts",2020-03-31,Class C
2025-03-31,0.0,319224.4249,25993.633754034756,11957.071526855987,-9061.046440824,-198707.15879,319224.4249,123413.29119603199,5,"Boston,Massachusetts",2020-03-31,Class C
2020-03-31,-81063.56463000001,270211.8821,0.0,0.0,0.0,0.0,0.0,-81063.56463000001,5,"Buffalo,New York",2020-03-31,Class A
2021-03-31,0.0,292592.9438,16064.316370917064,7389.585530621849,-8625.163276632,0.0,0.0,-1235.5777460101508,5,"Buffalo,New York",2020-03-31,Class A
2022-03-31,0.0,316557.9666,16722.14511878998,7692.1867546433905,-8625.163276632,0.0,0.0,-932.9765219886094,5,"Buffalo,New York",2020-03-31,Class A
2023-03-31,0.0,297044.2893,18266.351567938214,8402.521721251578,-8625.163276632,0.0,0.0,-222.64155538042178,5,"Buffalo,New York",2020-03-31,Class A
2024-03-31,0.0,267767.3617,19289.194732660428,8873.029577023795,-8625.163276632,0.0,0.0,247.86630039179545,5,"Buffalo,New York",2020-03-31,Class A
2025-03-31,0.0,270240.9508,19663.247981779274,9045.094071618465,-8625.163276632,-189148.31746999998,270240.9508,81512.56412498647,5,"Buffalo,New York",2020-03-31,Class A
2020-03-31,-38155.51608,127185.0536,0.0,0.0,0.0,0.0,0.0,-38155.51608,5,"Buffalo,New York",2020-03-31,Class B
2021-03-31,0.0,140069.0388,14570.960591822983,6702.6418722385715,-4059.746910912,0.0,0.0,2642.8949613265713,5,"Buffalo,New York",2020-03-31,Class B
2022-03-31,0.0,151220.9058,15340.025879622444,7056.411904626324,-4059.746910912,0.0,0.0,2996.664993714324,5,"Buffalo,New York",2020-03-31,Class B
2023-03-31,0.0,142615.6305,15985.429209375428,7353.297436312697,-4059.746910912,0.0,0.0,3293.5505254006966,5,"Buffalo,New York",2020-03-31,Class B
2024-03-31,0.0,133333.7908,16198.078200947575,7451.115972435884,-4059.746910912,0.0,0.0,3391.369061523884,5,"Buffalo,New York",2020-03-31,Class B
2025-03-31,0.0,137409.0663,16691.428974543145,7678.057328289846,-4059.746910912,-89029.53752,137409.0663,51997.83919737785,5,"Buffalo,New York",2020-03-31,Class B
2020-03-31,-21270.529560000003,70901.7652,0.0,0.0,0.0,0.0,0.0,-21270.529560000003,5,"Buffalo,New York",2020-03-31,Class C
2021-03-31,0.0,79620.2663,11015.87901700783,5067.304347823601,-2263.1843451839995,0.0,0.0,2804.120002639602,5,"Buffalo,New York",2020-03-31,Class C
2022-03-31,0.0,86621.0869,11670.568868257356,5368.461679398383,-2263.1843451839995,0.0,0.0,3105.2773342143837,5,"Buffalo,New York",2020-03-31,Class C
2023-03-31,0.0,84524.7442,12135.877846706515,5582.503809484996,-2263.1843451839995,0.0,0.0,3319.3194643009965,5,"Buffalo,New York",2020-03-31,Class C
2024-03-31,0.0,80210.0336,12500.191891483377,5750.088270082353,-2263.1843451839995,0.0,0.0,3486.9039248983536,5,"Buffalo,New York",2020-03-31,Class C
2025-03-31,0.0,83104.0457,12682.822357107596,5834.098284269494,-2263.1843451839995,-49631.23563999999,83104.0457,37043.7239990855,5,"Buffalo,New York",2020-03-31,Class C
2020-03-31,-74529.54618,248431.8206,0.0,0.0,0.0,0.0,0.0,-74529.54618,5,"Charlotte,North Carolina",2020-03-31,Class A
2021-03-31,0.0,283488.4088,17135.957769957953,7882.540574180658,-7929.943713552,0.0,0.0,-47.40313937134215,5,"Charlotte,North Carolina",2020-03-31,Class A
2022-03-31,0.0,337995.5628,19980.79066797741,9191.163707269608,-7929.943713552,0.0,0.0,1261.2199937176083,5,"Charlotte,North Carolina",2020-03-31,Class A
2023-03-31,0.0,314730.6213,19828.743504105692,9121.222011888618,-7929.943713552,0.0,0.0,1191.2782983366178,5,"Charlotte,North Carolina",2020-03-31,Class A
2024-03-31,0.0,287944.2733,18812.011536575916,8653.52530682492,-7929.943713552,0.0,0.0,723.5815932729201,5,"Charlotte,North Carolina",2020-03-31,Class A
2025-03-31,0.0,292590.4575,18358.593565570907,8444.953040162616,-7929.943713552,-173902.27442,292590.4575,119203.19240661064,5,"Charlotte,North Carolina",2020-03-31,Class A
2020-03-31,-55167.659490000005,183892.1983,0.0,0.0,0.0,0.0,0.0,-55167.659490000005,5,"Charlotte,North Carolina",2020-03-31,Class B
2021-03-31,0.0,212202.2385,14987.182388137186,6894.103898543105,-5869.838969736,0.0,0.0,1024.2649288071052,5,"Charlotte,North Carolina",2020-03-31,Class B
2022-03-31,0.0,255650.4911,17272.72339663038,7945.452762449974,-5869.838969736,0.0,0.0,2075.6137927139744,5,"Charlotte,North Carolina",2020-03-31,Class B
2023-03-31,0.0,242375.3665,17383.860892445944,7996.576010525134,-5869.838969736,0.0,0.0,2126.737040789134,5,"Charlotte,North Carolina",2020-03-31,Class B
2024-03-31,0.0,223562.2201,16468.408625038166,7575.467967517556,-5869.838969736,0.0,0.0,1705.6289977815559,5,"Charlotte,North Carolina",2020-03-31,Class B
2025-03-31,0.0,227376.9185,16290.934044865155,7493.829660637971,-5869.838969736,-128724.53880999998,227376.9185,100276.370380902,5,"Charlotte,North Carolina",2020-03-31,Class B
2020-03-31,-30855.60603000001,102852.0201,0.0,0.0,0.0,0.0,0.0,-30855.60603000001,5,"Charlotte,North Carolina",2020-03-31,Class C
2021-03-31,0.0,120354.9817,11762.007713843715,5410.523548368109,-3283.0364815919993,0.0,0.0,2127.4870667761097,5,"Charlotte,North Carolina",2020-03-31,Class C
2022-03-31,0.0,149430.6292,13634.86605002257,6272.038383010382,-3283.0364815919993,0.0,0.0,2989.0019014183827,5,"Charlotte,North Carolina",2020-03-31,Class C
2023-03-31,0.0,144722.3291,14098.713499721844,6485.408209872047,-3283.0364815919993,0.0,0.0,3202.371728280048,5,"Charlotte,North Carolina",2020-03-31,Class C
2024-03-31,0.0,136402.3193,13954.305906176109,6418.98071684101,-3283.0364815919993,0.0,0.0,3135.9442352490105,5,"Charlotte,North Carolina",2020-03-31,Class C
2025-03-31,0.0,140264.8758,13895.779259191537,6392.058459228107,-3283.0364815919993,-71996.41406999998,140264.8758,71377.48370763613,5,"Charlotte,North Carolina",2020-03-31,Class C
2020-03-31,-129377.11026000004,431257.0342,0.0,0.0,0.0,0.0,0.0,-129377.11026000004,5,"Chicago,Illinois",2020-03-31,Class A
2021-03-31,0.0,454613.2566,25108.871500673813,11550.080890309953,-13765.724531663998,0.0,0.0,-2215.643641354045,5,"Chicago,Illinois",2020-03-31,Class A
2022-03-31,0.0,504818.8847,28952.138784966846,13317.983841084748,-13765.724531663998,0.0,0.0,-447.74069057925044,5,"Chicago,Illinois",2020-03-31,Class A
2023-03-31,0.0,457966.9485,30430.250742474094,13997.915341538082,-13765.724531663998,0.0,0.0,232.19080987408415,5,"Chicago,Illinois",2020-03-31,Class A
2024-03-31,0.0,408011.4173,30593.90587870125,14073.196704202574,-13765.724531663998,0.0,0.0,307.47217253857525,5,"Chicago,Illinois",2020-03-31,Class A
2025-03-31,0.0,410970.6967,30724.04018927598,14133.05848706695,-13765.724531663998,-301879.92393999995,410970.6967,109458.10671540297,5,"Chicago,Illinois",2020-03-31,Class A
2020-03-31,-60842.56125,202808.5375,0.0,0.0,0.0,0.0,0.0,-60842.56125,5,"Chicago,Illinois",2020-03-31,Class B
2021-03-31,0.0,218941.3296,16657.99247309324,7662.67653762289,-6473.6485170000005,0.0,0.0,1189.028020622889,5,"Chicago,Illinois",2020-03-31,Class B
2022-03-31,0.0,245767.4771,18692.796580809627,8598.686427172428,-6473.6485170000005,0.0,0.0,2125.0379101724275,5,"Chicago,Illinois",2020-03-31,Class B
2023-03-31,0.0,226103.9907,19811.097907524207,9113.105037461135,-6473.6485170000005,0.0,0.0,2639.4565204611345,5,"Chicago,Illinois",2020-03-31,Class B
2024-03-31,0.0,210645.8769,20147.07533367234,9267.654653489275,-6473.6485170000005,0.0,0.0,2794.0061364892745,5,"Chicago,Illinois",2020-03-31,Class B
2025-03-31,0.0,217194.8657,20522.95647949846,9440.559980569291,-6473.6485170000005,-141965.97625,217194.8657,78195.80091356928,5,"Chicago,Illinois",2020-03-31,Class B
2020-03-31,-38207.70861,127359.0287,0.0,0.0,0.0,0.0,0.0,-38207.70861,5,"Chicago,Illinois",2020-03-31,Class C
2021-03-31,0.0,139207.1683,12780.998341660832,5879.259237163982,-4065.300196104,0.0,0.0,1813.9590410599822,5,"Chicago,Illinois",2020-03-31,Class C
2022-03-31,0.0,158445.8779,13583.161142786003,6248.25412568156,-4065.300196104,0.0,0.0,2182.9539295775603,5,"Chicago,Illinois",2020-03-31,Class C
2023-03-31,0.0,147295.6409,14162.999061538774,6514.9795683078355,-4065.300196104,0.0,0.0,2449.6793722038356,5,"Chicago,Illinois",2020-03-31,Class C
2024-03-31,0.0,139147.9171,14722.001007071323,6772.120463252808,-4065.300196104,0.0,0.0,2706.820267148808,5,"Chicago,Illinois",2020-03-31,Class C
2025-03-31,0.0,143418.8516,14952.708809694706,6878.246052459564,-4065.300196104,-89151.32009,143418.8516,57080.47736635557,5,"Chicago,Illinois",2020-03-31,Class C
2020-03-31,-47725.89597000001,159086.3199,0.0,0.0,0.0,0.0,0.0,-47725.89597000001,5,"Cincinnati,Ohio",2020-03-31,Class A
2021-03-31,0.0,176412.4046,16777.526558279376,7717.662216808512,-5078.035331208,0.0,0.0,2639.6268856005127,5,"Cincinnati,Ohio",2020-03-31,Class A
2022-03-31,0.0,198496.9392,19557.320702392484,8996.367523100542,-5078.035331208,0.0,0.0,3918.332191892542,5,"Cincinnati,Ohio",2020-03-31,Class A
2023-03-31,0.0,185383.3328,20012.82269632816,9205.898440310953,-5078.035331208,0.0,0.0,4127.863109102954,5,"Cincinnati,Ohio",2020-03-31,Class A
2024-03-31,0.0,174166.9337,20152.310267627883,9270.062723108826,-5078.035331208,0.0,0.0,4192.027391900826,5,"Cincinnati,Ohio",2020-03-31,Class A
2025-03-31,0.0,183277.851,20534.491511609816,9445.866095340514,-5078.035331208,-111360.42392999999,183277.851,76285.25783413251,5,"Cincinnati,Ohio",2020-03-31,Class A
2020-03-31,-33138.00939000001,110460.0313,0.0,0.0,0.0,0.0,0.0,-33138.00939000001,5,"Cincinnati,Ohio",2020-03-31,Class B
2021-03-31,0.0,122939.0359,13496.099220743105,6208.205641541827,-3525.884199096,0.0,0.0,2682.3214424458274,5,"Cincinnati,Ohio",2020-03-31,Class B
2022-03-31,0.0,136644.4383,15022.417456814084,6910.312030134478,-3525.884199096,0.0,0.0,3384.427831038478,5,"Cincinnati,Ohio",2020-03-31,Class B
2023-03-31,0.0,129533.5286,15596.003825536933,7174.1617597469885,-3525.884199096,0.0,0.0,3648.2775606509886,5,"Cincinnati,Ohio",2020-03-31,Class B
2024-03-31,0.0,122815.5958,15690.827487278853,7217.780644148272,-3525.884199096,0.0,0.0,3691.8964450522717,5,"Cincinnati,Ohio",2020-03-31,Class B
2025-03-31,0.0,131849.1057,15690.944264998427,7217.834361899276,-3525.884199096,-77322.02191,131849.1057,58219.033952803264,5,"Cincinnati,Ohio",2020-03-31,Class B
2020-03-31,-17771.33922,59237.7974,0.0,0.0,0.0,0.0,0.0,-17771.33922,5,"Cincinnati,Ohio",2020-03-31,Class C
2021-03-31,0.0,66841.6468,9357.568516790987,4304.481517723853,-1890.870493008,0.0,0.0,2413.611024715853,5,"Cincinnati,Ohio",2020-03-31,Class C
2022-03-31,0.0,75946.9247,10108.0851648753,4649.719175842637,-1890.870493008,0.0,0.0,2758.8486828346367,5,"Cincinnati,Ohio",2020-03-31,Class C
2023-03-31,0.0,71988.2312,10600.860562316115,4876.395858665413,-1890.870493008,0.0,0.0,2985.5253656574123,5,"Cincinnati,Ohio",2020-03-31,Class C
2024-03-31,0.0,68255.8317,11042.077377499723,5079.355593649872,-1890.870493008,0.0,0.0,3188.485100641872,5,"Cincinnati,Ohio",2020-03-31,Class C
2025-03-31,0.0,73247.0005,11200.857517399541,5152.394458003789,-1890.870493008,-41466.45818,73247.0005,35042.06628499578,5,"Cincinnati,Ohio",2020-03-31,Class C
2020-03-31,-52779.4149,175931.383,0.0,0.0,0.0,0.0,0.0,-52779.4149,5,"Cleveland,Ohio",2020-03-31,Class A
2021-03-31,0.0,195428.1059,18222.210134029654,8382.21666165364,-5615.72974536,0.0,0.0,2766.4869162936393,5,"Cleveland,Ohio",2020-03-31,Class A
2022-03-31,0.0,210063.9472,21624.007679199138,9947.043532431602,-5615.72974536,0.0,0.0,4331.313787071602,5,"Cleveland,Ohio",2020-03-31,Class A
2023-03-31,0.0,225652.7809,22609.01798573322,10400.14827343728,-5615.72974536,0.0,0.0,4784.41852807728,5,"Cleveland,Ohio",2020-03-31,Class A
2024-03-31,0.0,211635.7744,21334.153664653404,9813.710685740565,-5615.72974536,0.0,0.0,4197.980940380565,5,"Cleveland,Ohio",2020-03-31,Class A
2025-03-31,0.0,209787.9888,20385.97337763505,9377.547753712122,-5615.72974536,-123151.9681,209787.9888,90397.83870835212,5,"Cleveland,Ohio",2020-03-31,Class A
2020-03-31,-26018.079780000007,86726.9326,0.0,0.0,0.0,0.0,0.0,-26018.079780000007,5,"Cleveland,Ohio",2020-03-31,Class B
